key, motion, time
h, hl1, 779
c, hl1, 948
c, vb2, 1262
h, hl1, 559
i, vb1, 816
l, dc1, 925
d, da1, 1731
r, vt1, 726
n, hr1, 767
r, vt1, 813
p, vb1, 527
p, vt2, 284
l, dc1, 1145
y, hl1, 1087
y, hr2, 536
i, vb1, 1295
n, hr1, 654
g, vb1, 2129
g, hl2, 725
h, hl1, 1171
b, hl1, 704
b, hr2, 559
d, da1, 758
f, vb1, 1085
f, vt2, 857
o, vb1, 897
r, vt1, 890
h, hl1, 830
n, hr1, 1360
v, vt1, 1422
v, hl2, 1142
i, vb1, 962
r, vt1, 616
o, vb1, 755
n, hr1, 930
m, hr1, 460
m, vb2, 824
n, hr1, 671
c, hl1, 1499
c, vb2, 931
o, vb1, 689
n, hr1, 711
s, hl1, 635
q, vb1, 977
q, hr2, 661
u, dd1, 1086
n, hr1, 931
c, hl1, 760
c, vb2, 561
s, hl1, 662
o, vb1, 623
f, vb1, 1235
f, vt2, 660
w, vt1, 980
w, vb2, 759
r, vt1, 562
o, vb1, 677
n, hr1, 1038
g, vb1, 1627
g, hl2, 825
u, dd1, 881
r, vt1, 1150
n, hr1, 910
b, hl1, 1451
b, hr2, 824
r, vt1, 642
h, hl1, 755
i, vb1, 906
n, hr1, 953
g, vb1, 1201
g, hl2, 659
i, vb1, 132
s, hl1, 1031
d, da1, 875
i, vb1, 572
f, vb1, 1152
f, vt2, 330
f, vb1, 733
f, vt2, 395
i, vb1, 502
c, hl1, 1121
c, vb2, 659
u, dd1, 977
l, dc1, 1060
i, vb1, 498
c, hl1, 1412
c, vb2, 627
n, hr1, 581
s, hl1, 721
i, vb1, 792
l, dc1, 1018
l, dc1, 699
f, vb1, 961
f, vt2, 923
l, dc1, 726
y, hl1, 1053
y, hr2, 825
o, vb1, 917
u, dd1, 1551
r, vt1, 739
p, vb1, 1122
p, vt2, 1022
r, vt1, 960
s, hl1, 609
n, hr1, 568
c, hl1, 1005
c, vb2, 725
h, hl1, 645
i, vb1, 600
s, hl1, 912
c, hl1, 872
c, vb2, 645
m, hr1, 860
m, vb2, 756
r, vt1, 815
k, hr1, 934
k, hl2, 955
s, hl1, 896
n, hr1, 1035
i, vb1, 898
c, hl1, 880
c, vb2, 645
p, vb1, 1023
p, vt2, 713
h, hl1, 746
o, vb1, 769
o, vb1, 712
g, vb1, 1801
g, hl2, 801
r, vt1, 861
p, vb1, 610
p, vt2, 779
h, hl1, 778
s, hl1, 637
b, hl1, 711
b, hr2, 445
i, vb1, 667
g, vb1, 1297
g, hl2, 443
s, hl1, 968
c, hl1, 668
c, vb2, 446
r, vt1, 820
c, hl1, 809
c, vb2, 356
h, hl1, 1228
o, vb1, 993
n, hr1, 1090
h, hl1, 1106
b, hl1, 781
b, hr2, 335
l, dc1, 993
o, vb1, 638
p, vb1, 777
p, vt2, 755
h, hl1, 2050
l, dc1, 1120
h, hl1, 1158
y, hl1, 879
y, hr2, 622
i, vb1, 921
o, vb1, 613
o, vb1, 492
f, vb1, 893
f, vt2, 578
o, vb1, 576
o, vb1, 432
d, da1, 1557
i, vb1, 790
s, hl1, 773
g, vb1, 1290
g, hl2, 356
o, vb1, 466
o, vb1, 415
d, da1, 1385
f, vb1, 903
f, vt2, 667
o, vb1, 561
r, vt1, 517
y, hl1, 930
y, hr2, 422
o, vb1, 508
u, dd1, 907
w, vt1, 1039
w, vb2, 578
i, vb1, 499
s, hl1, 989
h, hl1, 1068
f, vb1, 714
f, vt2, 534
u, dd1, 980
l, dc1, 938
h, hl1, 932
i, vb1, 370
n, hr1, 843
k, hr1, 898
k, hl2, 536
i, vb1, 302
n, hr1, 1210
g, vb1, 1544
g, hl2, 534
i, vb1, 261
s, hl1, 1237
f, vb1, 810
f, vt2, 663
i, vb1, 412
n, hr1, 866
o, vb1, 988
n, hr1, 543
n, hr1, 301
v, vt1, 907
v, hl2, 555
r, vt1, 882
k, hr1, 861
k, hl2, 422
s, hl1, 884
o, vb1, 350
o, vb1, 302
m, hr1, 739
m, vb2, 422
n, hr1, 531
